family_id,dataset,image_id,category_id,category_name,prompt,is_prompt_absent,num_candidates,num_rejected,fp,tp,fdp
coco:522:15:1563,coco,522,15,person,person,False,17,0,0,0,0.0
coco:522:3:1564,coco,522,3,bird,bird,True,3,0,0,0,0.0
coco:523:5:1568,coco,523,5,bottle,bottle,True,10,0,0,0,0.0
coco:524:12:1569,coco,524,12,dog,dog,False,7,0,0,0,0.0
coco:524:19:1570,coco,524,19,train,train,True,2,0,0,0,0.0
coco:524:1:1571,coco,524,1,aeroplane,aeroplane,True,18,0,0,0,0.0
coco:525:8:1572,coco,525,8,cat,cat,False,1,0,0,0,0.0
coco:526:12:1576,coco,526,12,dog,dog,True,1,0,0,0,0.0
coco:526:15:1575,coco,526,15,person,person,False,1,0,0,0,0.0
coco:527:15:1578,coco,527,15,person,person,False,7,0,0,0,0.0
coco:527:7:1580,coco,527,7,car,car,True,2,0,0,0,0.0
coco:528:15:1581,coco,528,15,person,person,False,2,0,0,0,0.0
coco:528:5:1583,coco,528,5,bottle,bottle,True,21,0,0,0,0.0
coco:528:9:1582,coco,528,9,chair,chair,True,20,0,0,0,0.0
coco:529:19:1586,coco,529,19,train,train,True,4,0,0,0,0.0
coco:52:10:154,coco,52,10,cow,cow,True,1,0,0,0,0.0
coco:530:14:1588,coco,530,14,motorbike,motorbike,True,6,0,0,0,0.0
coco:530:15:1587,coco,530,15,person,person,False,4,0,0,0,0.0
coco:530:16:1589,coco,530,16,pottedplant,pottedplant,True,15,0,0,0,0.0
coco:531:3:1591,coco,531,3,bird,bird,True,7,0,0,0,0.0
coco:532:7:1594,coco,532,7,car,car,True,7,0,0,0,0.0
coco:533:10:1598,coco,533,10,cow,cow,True,1,0,0,0,0.0
coco:533:15:1596,coco,533,15,person,person,False,2,0,0,0,0.0
coco:533:17:1597,coco,533,17,sheep,sheep,True,3,0,0,0,0.0
coco:534:7:1601,coco,534,7,car,car,True,7,0,0,0,0.0
coco:535:8:1603,coco,535,8,cat,cat,True,6,0,0,0,0.0
coco:535:9:1604,coco,535,9,chair,chair,True,10,0,0,0,0.0
coco:536:1:1607,coco,536,1,aeroplane,aeroplane,True,33,0,0,0,0.0
coco:537:15:1608,coco,537,15,person,person,False,14,0,0,0,0.0
coco:537:8:1609,coco,537,8,cat,cat,True,3,0,0,0,0.0
coco:538:3:1611,coco,538,3,bird,bird,False,1,0,0,0,0.0
coco:53:14:158,coco,53,14,motorbike,motorbike,True,6,0,0,0,0.0
coco:540:13:1619,coco,540,13,horse,horse,True,7,0,0,0,0.0
coco:540:4:1617,coco,540,4,boat,boat,False,6,0,0,0,0.0
coco:541:14:1620,coco,541,14,motorbike,motorbike,False,1,0,0,0,0.0
coco:542:7:1624,coco,542,7,car,car,True,2,0,0,0,0.0
coco:543:15:1626,coco,543,15,person,person,False,26,0,0,0,0.0
coco:543:19:1627,coco,543,19,train,train,True,8,0,0,0,0.0
coco:544:9:1629,coco,544,9,chair,chair,False,7,0,0,0,0.0
coco:545:11:1634,coco,545,11,diningtable,diningtable,True,17,0,0,0,0.0
coco:546:13:1636,coco,546,13,horse,horse,True,5,0,0,0,0.0
coco:547:4:1640,coco,547,4,boat,boat,True,3,0,0,0,0.0
coco:547:5:1639,coco,547,5,bottle,bottle,True,48,0,0,0,0.0
coco:548:15:1641,coco,548,15,person,person,False,24,0,0,0,0.0
coco:548:8:1643,coco,548,8,cat,cat,True,1,0,0,0,0.0
coco:549:12:1646,coco,549,12,dog,dog,True,7,0,0,0,0.0
coco:549:15:1644,coco,549,15,person,person,False,26,0,0,0,0.0
coco:54:11:161,coco,54,11,diningtable,diningtable,True,10,0,0,0,0.0
coco:54:12:160,coco,54,12,dog,dog,True,6,0,0,0,0.0
coco:54:13:159,coco,54,13,horse,horse,False,8,0,0,0,0.0
coco:550:15:1647,coco,550,15,person,person,False,19,0,0,0,0.0
coco:551:15:1650,coco,551,15,person,person,False,4,0,0,0,0.0
coco:551:16:1651,coco,551,16,pottedplant,pottedplant,True,2,0,0,0,0.0
coco:552:16:1654,coco,552,16,pottedplant,pottedplant,True,6,0,0,0,0.0
coco:553:15:1656,coco,553,15,person,person,False,51,0,0,0,0.0
coco:553:17:1657,coco,553,17,sheep,sheep,True,1,0,0,0,0.0
coco:553:19:1658,coco,553,19,train,train,True,3,0,0,0,0.0
coco:554:3:1660,coco,554,3,bird,bird,True,1,0,0,0,0.0
coco:554:7:1661,coco,554,7,car,car,True,4,0,0,0,0.0
coco:555:11:1663,coco,555,11,diningtable,diningtable,True,3,0,0,0,0.0
coco:555:7:1664,coco,555,7,car,car,True,2,0,0,0,0.0
coco:557:9:1669,coco,557,9,chair,chair,True,33,0,0,0,0.0
coco:558:19:1673,coco,558,19,train,train,True,4,0,0,0,0.0
coco:558:7:1671,coco,558,7,car,car,False,12,0,0,0,0.0
coco:55:15:162,coco,55,15,person,person,False,13,0,0,0,0.0
coco:55:1:163,coco,55,1,aeroplane,aeroplane,True,10,0,0,0,0.0
coco:560:11:1678,coco,560,11,diningtable,diningtable,True,16,0,0,0,0.0
coco:561:15:1680,coco,561,15,person,person,False,14,0,0,0,0.0
coco:561:1:1682,coco,561,1,aeroplane,aeroplane,True,4,0,0,0,0.0
coco:561:4:1681,coco,561,4,boat,boat,True,1,0,0,0,0.0
coco:562:19:1684,coco,562,19,train,train,True,15,0,0,0,0.0
coco:562:1:1683,coco,562,1,aeroplane,aeroplane,False,17,0,0,0,0.0
coco:563:8:1686,coco,563,8,cat,cat,False,10,0,0,0,0.0
coco:564:11:1691,coco,564,11,diningtable,diningtable,True,8,0,0,0,0.0
coco:565:15:1692,coco,565,15,person,person,False,11,0,0,0,0.0
coco:565:16:1694,coco,565,16,pottedplant,pottedplant,True,13,0,0,0,0.0
coco:566:12:1696,coco,566,12,dog,dog,True,2,0,0,0,0.0
coco:566:19:1695,coco,566,19,train,train,False,5,0,0,0,0.0
coco:567:15:1698,coco,567,15,person,person,False,3,0,0,0,0.0
coco:567:18:1699,coco,567,18,sofa,sofa,True,6,0,0,0,0.0
coco:568:15:1701,coco,568,15,person,person,False,27,0,0,0,0.0
coco:568:19:1702,coco,568,19,train,train,True,3,0,0,0,0.0
coco:569:13:1704,coco,569,13,horse,horse,False,10,0,0,0,0.0
coco:569:14:1706,coco,569,14,motorbike,motorbike,True,10,0,0,0,0.0
coco:56:15:165,coco,56,15,person,person,False,2,0,0,0,0.0
coco:56:6:167,coco,56,6,bus,bus,True,28,0,0,0,0.0
coco:570:15:1707,coco,570,15,person,person,False,30,0,0,0,0.0
coco:571:3:1712,coco,571,3,bird,bird,True,2,0,0,0,0.0
coco:572:15:1713,coco,572,15,person,person,False,13,0,0,0,0.0
coco:572:20:1714,coco,572,20,tvmonitor,tvmonitor,True,60,0,0,0,0.0
coco:573:7:1717,coco,573,7,car,car,True,16,0,0,0,0.0
coco:573:9:1718,coco,573,9,chair,chair,True,11,0,0,0,0.0
coco:574:15:1719,coco,574,15,person,person,False,70,0,0,0,0.0
coco:574:5:1720,coco,574,5,bottle,bottle,True,28,0,0,0,0.0
coco:575:15:1723,coco,575,15,person,person,True,17,0,0,0,0.0
coco:575:4:1722,coco,575,4,boat,boat,False,49,0,0,0,0.0
coco:577:15:1728,coco,577,15,person,person,False,66,0,0,0,0.0
coco:577:16:1729,coco,577,16,pottedplant,pottedplant,True,13,0,0,0,0.0
coco:578:8:1731,coco,578,8,cat,cat,False,4,0,0,0,0.0
coco:579:18:1736,coco,579,18,sofa,sofa,True,39,0,0,0,0.0
coco:579:20:1735,coco,579,20,tvmonitor,tvmonitor,True,5,0,0,0,0.0
coco:579:6:1734,coco,579,6,bus,bus,False,1,0,0,0,0.0
coco:57:2:170,coco,57,2,bicycle,bicycle,True,2,0,0,0,0.0
coco:580:3:1737,coco,580,3,bird,bird,False,16,0,0,0,0.0
coco:581:14:1740,coco,581,14,motorbike,motorbike,False,2,0,0,0,0.0
coco:581:5:1741,coco,581,5,bottle,bottle,True,41,0,0,0,0.0
coco:581:6:1742,coco,581,6,bus,bus,True,1,0,0,0,0.0
coco:582:20:1745,coco,582,20,tvmonitor,tvmonitor,True,5,0,0,0,0.0
coco:584:7:1749,coco,584,7,car,car,False,7,0,0,0,0.0
coco:586:20:1756,coco,586,20,tvmonitor,tvmonitor,True,2,0,0,0,0.0
coco:586:5:1757,coco,586,5,bottle,bottle,True,5,0,0,0,0.0
coco:586:8:1755,coco,586,8,cat,cat,False,1,0,0,0,0.0
coco:587:12:1758,coco,587,12,dog,dog,False,1,0,0,0,0.0
coco:587:13:1760,coco,587,13,horse,horse,True,4,0,0,0,0.0
coco:587:20:1759,coco,587,20,tvmonitor,tvmonitor,True,5,0,0,0,0.0
coco:588:14:1761,coco,588,14,motorbike,motorbike,False,38,0,0,0,0.0
coco:588:15:1763,coco,588,15,person,person,True,24,0,0,0,0.0
coco:588:19:1762,coco,588,19,train,train,True,12,0,0,0,0.0
coco:589:15:1764,coco,589,15,person,person,False,42,0,0,0,0.0
coco:58:8:173,coco,58,8,cat,cat,True,6,0,0,0,0.0
coco:590:15:1767,coco,590,15,person,person,False,43,0,0,0,0.0
