alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum_fine
0.15,32,14,16,1,15,0.0625,0.14285714285714285,0.03125,0.4,404,4,betting,11<=K<=20
0.15,53,19,26,1,25,0.038461538461538464,0.2976190476190476,0.018867924528301886,0.4,163,4,betting,3<=K<=5
0.15,10,2,15,2,13,0.13333333333333333,0.12380952380952381,0.014285714285714285,0.4,1084,4,betting,K>50
0.2,96,31,33,0,33,0.0,0.4520547945205479,0.0,0.4,97,4,betting,K<=2
0.2,26,15,51,10,41,0.19607843137254902,0.25625,0.05662393162393162,0.4,795,4,betting,21<=K<=50
0.2,32,21,36,5,31,0.1388888888888889,0.40789473684210525,0.10416666666666666,0.4,212,4,betting,6<=K<=10
0.2,32,15,18,1,17,0.05555555555555555,0.1619047619047619,0.03125,0.4,404,4,betting,11<=K<=20
0.2,53,22,30,2,28,0.06666666666666667,0.3333333333333333,0.03773584905660377,0.4,163,4,betting,3<=K<=5
0.2,10,5,62,43,19,0.6935483870967742,0.18095238095238095,0.19407407407407407,0.4,1084,4,betting,K>50
0.05,87,17,18,0,18,0.0,0.3103448275862069,0.0,0.4,85,5,betting,K<=2
0.05,29,3,3,0,3,0.0,0.015957446808510637,0.0,0.4,899,5,betting,21<=K<=50
0.05,35,9,12,0,12,0.0,0.12371134020618557,0.0,0.4,452,5,betting,11<=K<=20
0.05,39,12,12,2,10,0.16666666666666666,0.11904761904761904,0.05128205128205128,0.4,253,5,betting,6<=K<=10
0.05,55,6,8,1,7,0.125,0.0875,0.01818181818181818,0.4,174,5,betting,3<=K<=5
0.05,4,0,0,0,0,0.0,0.0,0.0,0.4,416,5,betting,K>50
0.1,87,23,25,1,24,0.04,0.41379310344827586,0.005747126436781609,0.4,85,5,betting,K<=2
0.1,29,8,20,2,18,0.1,0.09574468085106383,0.02011494252873563,0.4,899,5,betting,21<=K<=50
0.1,35,16,24,3,21,0.125,0.21649484536082475,0.033333333333333326,0.4,452,5,betting,11<=K<=20
0.1,39,19,21,3,18,0.14285714285714285,0.21428571428571427,0.0641025641025641,0.4,253,5,betting,6<=K<=10
