dataset,detector,alpha,bin,n_candidates,n_rejections,pooled_fdp,recall,loo_mean,per_family_fdp,pass_rate
COCO val,GDino,0.15,toothbrush,25.05,0.35,0.35,0.0,0.9208838909186248,0.35,0.65
COCO val,GDino,0.15,traffic light,78.0,0.65,0.0,0.10506132756132755,0.6100663551683677,0.0,1.0
COCO val,GDino,0.15,train,75.9,3.7,0.0,0.6526902876535229,0.5906862896082055,0.0,1.0
COCO val,GDino,0.15,truck,207.1,0.0,0.0,0.0,0.5078461120453015,0.0,1.0
COCO val,GDino,0.15,tv,22.45,0.6,0.0,0.24083333333333332,0.5043691055396972,0.0,1.0
COCO val,GDino,0.15,umbrella,75.8,0.9,0.034999999999999996,0.1819047619047619,0.6363773198806499,0.03125,0.85
COCO val,GDino,0.15,vase,64.45,0.2,0.0,0.06488095238095239,0.7326968949622156,0.0,1.0
COCO val,GDino,0.15,wine glass,40.3,2.2,0.0,0.26130566801619437,0.7991068111184264,0.0,1.0
COCO val,GDino,0.15,zebra,64.15,7.95,0.01,0.4706517086647998,0.7302762719528498,0.016666666666666666,0.95
COCO val,GDino,0.2,airplane,35.6,1.7,0.0,0.47178571428571425,0.5346995784198527,0.0,1.0
COCO val,GDino,0.2,apple,94.85,1.0,0.04,0.12719988344988345,1.438389539653101,0.03333333333333333,0.9
COCO val,GDino,0.2,backpack,86.0,0.6,0.0,0.10574404761904761,0.5747142611214917,0.0,1.0
